angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[833, 161, 297, 376]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[833, 168, 290, 364]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[833, 168, 291, 365]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 161, 298, 376]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[833, 161, 297, 377]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[834, 161, 296, 376]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 186, 281, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 186, 280, 338]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[848, 184, 280, 341]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[848, 185, 280, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 185, 280, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 180, 281, 348]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[845, 181, 281, 347]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[842, 180, 282, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 179, 283, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 180, 283, 347]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[839, 181, 284, 347]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[840, 182, 282, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 183, 283, 344]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[838, 182, 283, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 181, 283, 347]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 181, 283, 348]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 180, 282, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[827, 169, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[827, 168, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[827, 170, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[838, 181, 283, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[838, 181, 284, 349]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 183, 282, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[840, 183, 282, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[840, 184, 282, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 186, 280, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 186, 281, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[845, 185, 281, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 185, 280, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[845, 185, 280, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[848, 186, 278, 341]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[847, 186, 279, 341]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 190, 277, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 190, 277, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 189, 279, 338]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 276, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[853, 193, 276, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 277, 332]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[852, 193, 277, 333]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 277, 334]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 192, 277, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 193, 278, 334]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 192, 278, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 192, 278, 336]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 192, 278, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 192, 278, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 192, 277, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 279, 336]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 191, 279, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 191, 280, 339]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 193, 278, 336]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 193, 280, 337]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 193, 280, 337]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 193, 280, 337]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 191, 281, 338]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[851, 191, 281, 340]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[853, 191, 281, 338]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[854, 190, 280, 338]",0.0,0.0,0.95,0.0,0.0,0.05
0.0,"[855, 191, 279, 337]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[854, 189, 281, 340]",0.0,0.0,0.93,0.0,0.0,0.07
0.0,"[853, 189, 281, 341]",0.0,0.0,0.95,0.0,0.0,0.04
